,ru-ru,en,,,,,NOTES – use \n for newline,max length
actiondesc_kantele_dis,Музыка для ваших ушей!,Music for your ears!,,,,,,
action_kantele_g,Кантеле — нота соль,Kantele - note G,,,,,,
actiondesc_kantele_g,Музыка для ваших ушей!,Music for your ears!,,,,,,
perk_hearts_more_extra_hp,Сильные сердца,Stronger Hearts,,,,,,
perkdesc_hearts_more_extra_hp,Сердца удваивают максимальное здоровье,Hearts bestow double the maximum health.,,,,,,
perk_extra_perk,Дополнительный бонус,Extra Perk,,,,,,
perkdesc_extra_perk,Теперь вы будете находить дополнительный бонус на каждой Святой горе.,From now on you will find an extra perk in every Holy Mountain.,,,,,,
perk_perks_lottery,Лотерея бонусов,Perk Lottery,,,,,,
perkdesc_perks_lottery,"Когда вы подбираете бонус, с шансом 50% другие бонусы не исчезнут.","When you pick a perk, there's a 50% chance the others won't disappear.",,,,,,
perk_genome_more_hatred,Больше ненависти,More Hatred,,,,,,
perkdesc_genome_more_hatred,Существа становятся более агрессивными друг к другу.,Creatures become more aggressive towards each other.,,,,,,
perk_genome_more_love,Больше любви,More Love,,,,,,
perkdesc_genome_more_love,Существа становятся дружелюбнее друг к другу.,Creatures become more friendly towards each other.,,,,,,
perk_random_allies,Случайные союзники,Random Allies,,,,,,
perkdesc_random_allies,Случайная вражеская группа становится вашим союзником.,You're allies with a random enemy group.,,,,,,
perk_remove_fog_of_war,Всевидящее око,All-Seeing Eye,,,,,,
perkdesc_remove_fog_of_war,Вы будете видеть всё.,You can see everywhere.,,,,,,
perk_attract_items,Притяжение золота,Attract Gold,,,,,,
perkdesc_attract_items,Золотые самородки притягиваются к вам.,Gold nuggets gravitate towards you.,,,,,,
perk_strong_kick,Тренировка для ног,Never Skip Leg Day,,,,,,
perkdesc_strong_kick,Удары наносят дополнительный урон и отбрасывают.,Your kicks deal extra damage and knockback.,,,,,,
perk_projectile_repulsion,Поле отталкивания снарядов,Projectile Repulsion Field,,,,,,
perkdesc_projectile_repulsion,"Большинство снарядов отталкиваются, но вы получаете чуть больший урон от снарядов.","Most projectiles are repulsed by your presence, but you take slightly more projectile damage.",,,,,,
perkdesc_bleed_slime,"Вы истекаете слизью, но она больше не замедляет вас.","You bleed slime, but slime no longer slows you down.",,,,,,
perk_multiply_hp,Увеличение ОЗ и запрет лечения,"Multiplied HP, No Healing",,,,,,
perkdesc_multiply_hp,"ОЗ увеличиваются, но больше не восстанавливаются.",Your HP has been multiplied but you can no longer regain HP.,,,,,,
perk_bleed_oil,Нефтяная кровь,Oil Blood,,,,,,
perkdesc_bleed_oil,Вы истекаете горючей нефтью.,You bleed flammable oil.,,,,,,
perk_golden_i,Золотой глаз,Golden I,,,,,,
perkdesc_golden_i,Обнаруженное золото больше не исчезает со временем.,Gold that you've seen no longer disappears over time.,,,,,,
perk_no_player_knockback,Стойкость к отбрасыванию,Knockback Immunity,,,,,,
perkdesc_no_player_knockback,Вас нельзя отбросить.,Knockback does not affect you.,,,,,,
perk_extra_knockback,Усиленное отбрасывание,Extra Knockback on Spells,,,,,,
perkdesc_extra_knockback,Заклинания отбрасывают врагов с большей силой.,Your spells knock enemies around with more force.,,,,,,
perk_lower_spread,Точные заклинания,Concentrated Spells,,,,,,
perkdesc_lower_spread,Снижает разброс заклинаний и увеличивает отдачу.,"Your spells have lower spread, but they push you back more.",,,,,,
perk_bounce,Отскакивающие заклинания,Bouncing Spells,,,,,,
perkdesc_bounce,Почти все ваши заклинания отскакивают.,Almost all your spells bounce around.,,,,,,
perk_projectile_homing_shooter,Заклинания-бумеранги,Boomerang Spells,,,,,,
perkdesc_projectile_homing_shooter,Траектория почти всех ваших заклинаний изгибается по направлению к вам. Сопротивление снарядам повышается.,Almost all your spells arc towards you. You gain higher projectile resistance.,,,,,,
perk_worm_attractor,Привлечение червей,Worm Attractor,,,,,,
perkdesc_worm_attractor,Вы очень нравитесь червям.,Worms find you attractive.,,,,,,
perk_worm_detractor,Отталкивание червей,Worm Detractor,,,,,,
perkdesc_worm_detractor,Черви бегут от вас.,Worms run from you.,,,,,,
perk_speed_diver,Быстрое плавание,Fast Swimming,,,,,,
perkdesc_speed_diver,Вы превосходно плаваете!,You are an expert swimmer!,,,,,,
perk_revenge_tentacle,Щупальца мести,Revenge Tentacle,,,,,,
perkdesc_revenge_tentacle,"Вы призываете монстра со щупальцами рядом с тем, кто нанёс вам урон.",You call a monstrous tentacle against those who harm you.,,,,,,
perk_attack_foot,Мутация Лукки,Lukki Mutation,,,,,,
perkdesc_attack_foot,Вы отращиваете полезные дополнительные конечности.,You grow curious additional limbs that fight for you.,,,,,,
perk_plague_rats,Чумные крысы,Plague Rats,,,,,,
perkdesc_plague_rats,"Умирающие рядом враги призывают голодных крыс, которые служат вам.",Enemies that die near you summon hungry rats to serve your bidding.,,,,,,
perk_radar_enemy,Радар для поиска врагов,Enemy Radar,,,,,,
perkdesc_radar_enemy,Вы чувствуете ближайших врагов.,You can sense nearby enemies.,,,,,,
perk_radar_wand,Радар для поиска жезлов,Wand Radar,,,,,,
perkdesc_radar_wand,Вы чувствуете ближайшие жезлы.,You can sense nearby wands.,,,,,,
perk_unlimited_spells,Неограниченные заклинания,Unlimited Spells,,,,,,
perkdesc_unlimited_spells,Большинство заклинаний теряют ограничения.,Most spells are now unlimited.,,,,,,
perk_leggy_feet,Мутация ног,Leggy Mutation,,,,,,
perkdesc_leggy_feet,"У вас отрастают неприятные на вид конечности, которые сражаются за вас.",You grow disturbing looking limbs that fight for you.,,,,,,
perk_always_cast,Постоянное заклинание,Always Cast,,,,,,
perkdesc_always_cast,Жезлу в вашей руке добавляется случайное постоянное заклинание.,"A random Always Cast spell is added to the wand in your hand, with a maximum of 5.",,,,,,
perk_no_more_shuffle,Упорядоченность,No More Shuffle,,,,,,
perkdesc_no_more_shuffle,"Жезлы больше не накладывают заклинания в случайном порядке. Жезлы, которые вы носите с собой, тоже перестанут так делать.",From now on there are no more shuffling wands. The wands you carry with you turn into non-shufflers too.,,,,,,
perk_vampirism,Вампиризм,Vampirism,,,,,,
perkdesc_vampirism,"Вы пополняете здоровье, употребляя кровь, но теряете одну треть максимума ОЗ. Кровь не влияет на уровень насыщения.","You regain health from drinking blood, but you lose one third of maximum health. Blood doesn't affect satiation level.",,,,,,
perk_no_wand_editing,Запрет на изменения жезлов,No Wand Tinkering,,,,,,
perkdesc_no_wand_editing,"Жезлы нельзя изменять, но из врагов могут выпадать кровавые деньги.","Wands cannot be tinkered with, but enemies may drop blood money.",,,,,,
perk_telekinesis,Телекинетический пинок,Telekinetic Kick,,,,,,
perkdesc_telekinesis,Вы получаете новую силу телекинеза.,You gain new telekinetic powers.,,,,,,
perk_projectile_duplicate,Удвоение выстрелов,Duplicated shots,,,,,,
perkdesc_projectile_duplicate,Ваши заклинания удваиваются при столкновении с препятствием.,Your spells duplicate as they hit obstacles.,,,,,,
perk_low_hp_damage_boost,Жизнь на грани,Living on the Edge,,,,,,
perkdesc_low_hp_damage_boost,Ваши заклинания наносят утроенный урон когда у вас остаётся меньше 25 ОЗ или менее 25% максимума ОЗ.,Your spells deal 3x damage when you're under 25 HP or 25% of maximum health.,,,,,,
perk_faster_levitation,Ускоренная левитация,Faster Levitation,,,,,,
perkdesc_faster_levitation,Левитация на 75% быстрее.,You levitate 75% faster.,,,,,,
perk_peace_with_steve,Мир с богами,Peace with Gods,,,,,,
perkdesc_peace_with_steve,Вы примиряетесь со своими богами.,You make peace with your Gods.,,,,,,
perk_gold_is_forever,Вечное золото,Gold Is Forever,,,,,,
perkdesc_gold_is_forever,Золотые самородки не исчезают.,Gold nuggets never disappear.,,,,,,
perk_wand_experimenter,Экспериментальный жезл,Wand Experimenter,,,,,,
perk_trick_blood_money,Больше кровавого золота,Trick Blood Money,,,,,,
perkdesc_trick_blood_money,При смерти в результате несчастного случая выпадает кровавое золото.,Blood money is dropped when death is an accident.,,,,,,
perk_levitation_trail,След от левитации,Levitation Trail,,,,,,
perkdesc_levitation_trail,"Левитируя, вы оставляете за собой след волшебных искр, наносящих урон задетым ими существам.","When levitating, you leave a trail of magical sparks that harm passing creatures.",,,,,,
perkdesc_wand_experimenter,"Стреляя из новых и немодифицированных жезлов, вы будете исцеляться.",Firing newly found and unmodified wands heals you.,,,,,,
perk_protection_freeze,Стойкость к заморозке,Freezing Immunity,,,,,,
perkdesc_protection_freeze,Вас нельзя заморозить.,You cannot be frozen.,,,,,,
item_mcguffin,Недостающий ключ,Missing Key,,,,,,
itemdesc_mcguffin,По легенде этот артефакт завершит Великий труд,This has been said to complete the Work,,,,,,
item_mcguffin_0,Соль,The Salt,,,,,,
itemdesc_mcguffin_0,По легенде этот артефакт завершит Великий труд,This has been said to complete the Work,,,,,,
item_mcguffin_1,Наше вещество,Our Matter,,,,,,
itemdesc_mcguffin_1,По легенде этот артефакт завершит Великий труд,This has been said to complete the Work,,,,,,
item_mcguffin_2,Птица Гермеса,Hermes bird,,,,,,
itemdesc_mcguffin_2,По легенде этот артефакт завершит Великий труд,This has been said to complete the Work,,,,,,
item_mcguffin_3,Белый орёл,White Eagle,,,,,,
itemdesc_mcguffin_3,По легенде этот артефакт завершит Великий труд,This has been said to complete the Work,,,,,,
item_mcguffin_4,Зелёный лев,The Green Lion,,,,,,
itemdesc_mcguffin_4,По легенде этот артефакт завершит Великий труд,This has been said to complete the Work,,,,,,
item_mcguffin_5,Красный лев,Red Lion,,,,,,
itemdesc_mcguffin_5,По легенде этот артефакт завершит Великий труд,This has been said to complete the Work,,,,,,
item_mcguffin_6,Небесный рубин,Celestial Ruby,,,,,,
itemdesc_mcguffin_6,По легенде этот артефакт завершит Великий труд,This has been said to complete the Work,,,,,,
item_mcguffin_7,Магнезия,Magnesia,,,,,,
itemdesc_mcguffin_7,По легенде этот артефакт завершит Великий труд,This has been said to complete the Work,,,,,,
item_mcguffin_8,Философский сосуд,The Vessel of the Philosophers,,,,,,
itemdesc_mcguffin_8,По легенде этот артефакт завершит Великий труд,This has been said to complete the Work,,,,,,
item_mcguffin_9,Благословенный камень,Our Blessed Stone,,,,,,
itemdesc_mcguffin_9,По легенде этот артефакт завершит Великий труд,This has been said to complete the Work,,,,,,
item_mcguffin_10,Опус магнум,Magnum Opus,,,,,,
itemdesc_mcguffin_10,По легенде этот артефакт завершит Великий труд,This has been said to complete the Work,,,,,,
item_mcguffin_11,Философский камень,Philosopher's Stone,,,,,,
itemdesc_mcguffin_11,По легенде этот артефакт завершит Великий труд,This has been said to complete the Work,,,,,,
item_mcguffin_12,Сампо,Sampo,,,,,,
itemdesc_mcguffin_12,По легенде этот артефакт завершит Великий труд,This has been said to complete the Work,,,,,,
item_mcguffin_13,Истинное знание,True Knowledge,,,,,,
itemdesc_mcguffin_13,Вы завершили Великий труд,You have completed the Work,,,,,,
item_perk_reroll,Смена бонуса,Perk reroll,,,,,,
item_essence_fire,Эссенция огня,Essence of Fire,,,,,,
itemdesc_essence_fire,Ваша сущность колеблется!,Your entire being is fluctuating!,,,,,,
item_essence_laser,Эссенция земли,Essence of Earth,,,,,,
itemdesc_essence_laser,Ваша сущность излучает опасный свет!,Your being releases damaging light!,,,,,,
item_essence_air,Эссенция воздуха,Essence of Air,,,,,,
itemdesc_essence_air,Ваша сущность управляет воздухом вокруг вас!,Your being controls the air around you!,,,,,,
item_essence_water,Эссенция воды,Essence of Water,,,,,,
itemdesc_essence_water,Земля течёт вокруг вас!,The earth flows around you!,,,,,,
item_essence_alcohol,Эссенция спирта,Essence of Spirits,,,,,,
itemdesc_essence_alcohol,Это была не лучшая идея,That was not the best of ideas,,,,,,
item_chest_treasure_super,Большой сундук с сокровищами,Great treasure chest,,,,,,
item_rock,Камень,Rock,,,,,,
itemdesc_rock,Это камень.,It's a rock.,,,,,,
item_egg_hollow,Пустое яйцо,Hollow egg,,,,,,
itemdesc_egg_hollow,"Интересно, есть что-нибудь внутри?",I wonder if there's anything inside?,,,,,,
item_egg_worm,Покачивающееся яйцо,Wiggling egg,,,,,,
item_description_egg_worm,Внутри что-то шевелится,Something wiggles inside,,,,,,
item_egg_purple,Холодное яйцо,Chilly egg,,,,,,
item_description_egg_purple,Холодное на ощупь яйцо,The egg feels cold,,,,,,
item_egg_fire,Тёплое яйцо,Toasty egg,,,,,,
item_description_egg_fire,Тёплое на ощупь яйцо,The egg feels very warm,,,,,,
item_egg_slime,Слизистое яйцо,Slimy egg,,,,,,
item_description_egg_slime,Покрытое слизью яйцо,The egg is covered in slime,,,,,,
item_flute,Жезл флейтиста,Flutist's wand,,,,,,
item_weathercrystal_book,Книга равновесия,Book of Balance,,,,,,
itemdesc_weathercrystal_book,"Говорят, чтобы получить несметные богатства, нужно сокрушить самые основы этого мира. Но тот, кто совершит это, будет проклят. Но и сама подобная жадность — уже проклятье...","It is said that to attain great wealth one must be ready to break the very foundation of this world. However, would one do that, they'd be cursed. Yet their own greed is a curse on its own...",,,,,,
item_chest_dark,Тёмный сундук,Dark chest,,,,,,
item_weathercrystal,Кристалл равновесия,Crystal of Balance,,,,,,
item_goldnugget_10,Золотой самородок (10),Gold nugget (10),,,,,,
item_goldnugget_50,Золотой самородок (50),Gold nugget (50),,,,,,
item_goldnugget_200,Золотой самородок (200),Gold nugget (200),,,,,,
item_goldnugget_1000,Золотой самородок (1000),Gold nugget (1000),,,,,,
item_goldnugget_10000,Золотой идол (10000),Golden Idol (10000),,,,,,
item_runestone_laser,Рунный камень света,Runestone of light,,,,,,
item_runestone_fireball,Рунный камень огня,Runestone of fire,,,,,,
item_runestone_lava,Рунный камень магмы,Runestone of magma,,,,,,
item_runestone_disc,Рунный камень лезвий,Runestone of edges,,,,,,
item_runestone_null,Рунный камень пустоты,Runestone of emptiness,,,,,,
item_runestone_slow,Рунный камень веса,Runestone of weight,,,,,,
itemdesc_runestone,Рунный камень с сильной волшебной аурой. Вам хочется его пнуть.,A runestone with a strong magical aura. You feel like kicking it.,,,,,,
item_key,Ключ-кристалл,Crystal key,,,,,,
itemdesc_key_0,Ключ не издаёт ни звука.,The key is voiceless.,,,,,,
itemdesc_key_1,"Ключ гудит, но чего-то не хватает...","The key hums, but something is missing...",,,,,,
itemdesc_key_2,Ключ шепчет секреты и обещания; он готов.,The key whispers secrets and promises; it is ready.,,,,,,
item_description_potion_usage,\n$0 по предмету: выпить,\n$0 on item - drink,,,,,,
item_jar,Сосуд,Jar,,,,,,
item_description_jar,"Установив, можно распылить или бросить",Equip and spray or throw,,,,,,
item_jar_with_material,Сосуд: $0,$0 jar,,,,,,
item_broken_wand,Сломанный жезл,Broken wand,,,,,,
item_description_broken_wand,"Этот жезл сломан пополам, но всё ещё искрит волшебной энергией",This wand has snapped in half but it still crackles with magical energy,,,,,,
item_thunderstone,Уккоскиви,Ukkoskivi,,,,,doesn't need to be translated,
item_description_thunderstone,Этот небольшой камень словно заряжает вас энергией.,This small rock makes you feel very charged.,,,,,,
item_brimstone,Киуаскиви,Kiuaskivi,,,,,doesn't need to be translated,
item_description_brimstone,"Этот крошечный камень выглядит раскалённым, но если его коснуться, чувствуется лишь приятное тепло.","This tiny rock looks most fiery, but when touched only a pleasant warmth can be felt.",,,,,,
item_moon,Куу,Kuu,,,,,doesn't need to be translated,
item_description_moon,Этот крошечный небесный объект обладает сильным притяжением.,This tiny celestial object has a strong gravitational pull.,,,,,,
item_waterstone,Вуоксикиви,Vuoksikivi,,,,,,
item_description_waterstone,"Этот небольшой камень твёрдый и прочный, но кажется наполненным водой.","This small rock is hard and solid, yet seems to be gushing with water.",,,,,,
item_bloodmoney,Кровавый золотой самородок,Bloody gold nugget,,,,,,
item_bloodmoney_10,Кровавый золотой самородок (10),Bloody gold nugget (10),,,,,,
item_bloodmoney_50,Кровавый золотой самородок (50),Bloody gold nugget (50),,,,,,
item_bloodmoney_200,Кровавый золотой самородок (200),Bloody gold nugget (200),,,,,,
item_bloodmoney_1000,Кровавый золотой самородок (1000),Bloody gold nugget (1000),,,,,,
item_bloodmoney_10000,Кровавый золотой идол (10000),Bloody golden Idol (10000),,,,,,
item_die_roll,Бросок кубика...,The die is rolling...,,,,,,
item_die_1,Выпало 1!,The die rolled a 1!,,,,,,
item_die_2,Выпало 2!,The die rolled a 2!,,,,,,
item_die_3,Выпало 3!,The die rolled a 3!,,,,,,
item_die_4,Выпало 4!,The die rolled a 4!,,,,,,
item_die_5,Выпало 5!,The die rolled a 5!,,,,,,
item_die_6,Выпало 6!,The die rolled a 6!,,,,,,
item_die_bad,Вам катастрофически не везёт!..,You're extremely unlucky...!,,,,,,
item_die_good,Вам чрезвычайно везёт!,You're extremely lucky!,,,,,,
item_die,Кубик случая,Chaos die,,,,,,
itemdesc_die,Бросайте кубик и получайте различные призы!,Roll it for various prizes!,,,,,,
itempickup_open,"Нажмите $0, чтобы открыть «$1»",Press $0 to open '$1',,,,,,
itempickup_orb,Вы обнаружили шар истинного Знания,You discovered an orb of true Knowledge,,,,,,
itempickup_orb_evil,Вы обнаружили шар осквернённого Знания,You discovered an orb of corrupted Knowledge,,,,,,
itempickup_orb_discovered,Вы нашли знакомый шар истинного Знания,You found a familiar orb of true Knowledge,,,,,,
itempickupdesc_orb_discovered,Вы вознаграждены прибавкой к здоровью,You're rewarded with additional health,,,,,,
itempickupdesc_orb_00,Вам открылись тайны бесконечной лавы.,Secrets of endless lava have been unlocked to you.,,,,,,
itempickupdesc_orb_01,Вам открылись тайны гнева Земли.,Secrets of Earth's anger have been unlocked to you.,,,,,,
itempickupdesc_orb_02,Вам открылись тайны внеземной жизни.,Secrets of otherworldly life have been unlocked to you.,,,,,,
itempickupdesc_orb_03,Вам открылись тайны абсолютного разрушения.,Secrets of utter destruction have been unlocked to you.,,,,,,
itempickupdesc_orb_04,Вам открылись тайны бессмертия.,Secrets of Undeath have been unlocked to you.,,,,,,
itempickupdesc_orb_05,Вам открылись тайны огня и серы.,Secrets of fire and brimstone have been unlocked to you.,,,,,,
itempickupdesc_orb_06,Вам открылись тайны Спирали,Secrets of the Spiral have been unlocked to you.,,,,,,
itempickupdesc_orb_07,Вам открылись тайны штормовых небес.,Secrets of stormy skies have been unlocked to you.,,,,,,
itempickupdesc_orb_08,Вам открылись тайны торжества.,Secrets of jubilation have been unlocked to you.,,,,,,
itempickupdesc_orb_09,Вам открылись тайны скрытой опасности.,Secrets of hidden danger have been unlocked to you.,,,,,,
itempickupdesc_orb_10,Вам открылись тайны восстановления.,Secrets of rebuilding have been unlocked to you.,,,,,,
itempickupdesc_orb_11,Эта тайна пока что закрыта для вас.,This secret should not have been available for you.,,,,,,
itempickupdesc_orb_13,Вам открылись тайны великой погибели.,Secrets of great undoing have been unlocked to you.,,,,,,
menu_mods,Моды,Mods,,,,,,
menu_mods_availablemods,Доступные моды,Available mods,,,,,,
menu_mods_availablemods_none,Нет установленных модов,No mods installed,,,,,,
menu_mods_enabled,Подключены,Enabled,,,,,,
menu_mods_moveup,Сдвинуть вверх,Move up,,,,,,
menu_mods_movedown,Сдвинуть вниз,Move down,,,,,,
menu_mods_help_exp,"Это экспериментальная возможность.\nВы пользуетесь ей на свой страх и риск. Запускайте моды только из доверенных источников!\nМод, подключённый последним, будет загружен первым.\nЩёлкните по названию мода, чтобы подключить или отключить его.",This is an experimental feature.\nUse at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.,,,,,,
menu_mods_help,"Вы пользуетесь модами на свой страх и риск.  Запускайте моды только из доверенных источников!\nМод, подключённый последним, будет загружен первым.\nЩёлкните по названию мода, чтобы подключить или отключить его.",Use mods at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.,,,,,,
menu_mods_help_paused,Изменения будут применены при следующем перезапуске.,Changes will be applied on next restart.,,,,,,
menu_mods_openmodfolder,Открыть папку модов,Open mod folder,,,,,,
menu_mods_restart,Перезапуск с подключёнными модами,Restart with enabled mods active,,,,,,
menu_mods_restart_tooltip,"Внимание! Некоторые моды могут плохо сочетаться с игрой: возможны странности, ошибки или критические сбои.","Warning: some mods may not handle enabling/disabling ingame well - weirdness, bugs or crashes may occur.",,,,,,
menu_mods_newgame,Начать новую игру с активными подключёнными модами,Start a new game with enabled mods active,,,,,,
menu_mods_refresh,Обновить,Refresh,,,,,,
menu_mods_reenablenotificiation,В этой версии изменилось поведение модов.\nИх нужно повторно подключить в меню «Моды».,This version changes how mods behave.\nMods need to be re-enabled via the “Mods” menu.,,,,,,
menu_mods_extraprivilegesareyousure,"Этот мод запрашивает дополнительные привилегии.\nПри включении он получит полный доступ к вашему компьютеру\nдаже без использования возможных уязвимостей в коде игры.\nВы уверены, что хотите подключить этот мод?","This mod has requested extra privileges.\nIf enabled, it has full access to your computer,\neven without using possible exploits in the game code.\nAre you sure you want to trust this mod?",,,,,,
menu_mods_extraprivilegesnotification,"Этот мод запрашивает дополнительные привилегии.\nЧтобы запустить этот мод, понадобится подключить небезопасные моды.",This mod has requested extra privileges.\nUnsafe mods need to be enabled to run this mod.,,,,,,
menu_mods_workshopsandboxnotification,Моды из мастерской нельзя подключить вместе с небезопасными модами.,Workshop mods cannot be enabled while unsafe mods are on.,,,,,,
menu_mods_enablinginvalid,"Этот мод неисправен, и его нельзя подключить [Код ошибки #N0174H4X].",This mod is broken and cannot be enabled [Error code #N0174H4X].,,,,,,
menu_mods_sandboxoffareyousure,Подключение небезопасных модов даёт всем установленным модам полный доступ к вашему компьютеру.\nВы уверены?,Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?,,,,,,
menu_mods_sandboxoffareyousure_steam,Подключение небезопасных модов даёт всем установленным модам полный доступ к вашему компьютеру.\nВы уверены?,Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?,,,,,,
menu_mods_sandboxoption,Небезопасные моды: $0,Unsafe mods: $0,,,,,,
menu_mods_initerrors_title,Ошибка при инициализации модов:,Errors occurred while initializing mods:,,,,,,
menu_mods_customactivation,\nИграйте с этим модом через меню «Новая игра».,\nPlay this mod via the “New game” menu.,,,,,,
menu_mods_translationactivation,\nПодключите этот перевод в разделе «Язык» меню «Параметры».,\nEnable this translation via “Language” in the “Options” menu.,,,,,,
menu_mods_nameconflict,Нельзя подключить несколько модов с идентификатором «$0».,Cannot enable multiple mods with the id “$0”.,,,,,,
menu_mods_installmods,Получить моды,Get mods,,,,,,
menu_mods_installmods_steam,Установить моды через мастерскую,Install mods using Workshop,,,,,,
menu_mods_workshopdownloading,Загрузка содержимого из мастерской — $0,Downloading Workshop content $0,,,,,,
menu_mods_workshop_mod_tooltip,Это мод из мастерской Steam.,This is a Steam Workshop mod.,,,,,,
menu_mods_disclaimernotification_exp,Это экспериментальная возможность.\nВы пользуетесь ею на свой страх и риск.\nЗапускайте моды только из доверенных источников.,This is an experimental feature.\nUse is at your own risk!\nYou should only run mods from trusted sources.,,,,,,
menu_mods_disclaimernotification,Вы пользуетесь модами на свой страх и риск!\nЗапускайте моды только из доверенных источников.,Use of mods is at your own risk!\nYou should only run mods from trusted sources.,,,,,,
menu_mods_initerrors_log,Ошибки при инициализации следующих модов: $0,There were errors when initializing following mods: $0,,,,,,
menu_mods_workshopdownloading_noprogress,"Загрузка содержимого из мастерской — $0\nЕсли загрузка не продвигается,\nпопробуйте изменить приоритет в списке загрузок библиотеки Steam.","Downloading Workshop content $0\nIf the downloads don't seem to progress,\nyou might need to change their priority in the Steam library downloads list.",,,,,,
menu_mods_modversion_older,Этот мод не испытывался на совместимость с последней версией интерфейса модификаций.,This mod has not been tested with the latest version of the modding interface.,,,,,,
menu_mods_modversion_newer,Этот мод разработан с новой версией интерфейса модификаций.\nУстановите новую версию игры.,This mod has been built with a never version of the modding interface.\nA never version of the game might be required.,,,,,,
menu_mods_incompatibilities,Моды (!),Mods (!),,,,,,
menu_mods_incompatibilities_tooltip,У некоторых модов есть возможные несовместимости,Some mods have possible incompatibilities,,,,,,
option_allowed,Разрешены,Allowed,,,,,,
option_disabled,Запрещены,Disabled,,,,,,
menu_newgame_selectgamemode,Выбрать режим игры,Select game mode,,,,,,
menu_quit,Выход,Quit,,,,,,
menuautosave_text,"Найдено автосохранение. Похоже, игра дала сбой?\nПопробовать восстановить автосохранение?",Autosave found. Looks like the game crashed?\nShould the game attempt to restore the autosave?,,,,,,
menuautosave_text_mods,Некоторые подключённые моды могли вызвать сбой.,Some mods were enabled and might have caused the crash.,,,,,,
menuautosave_text_earlyaccess,Noita находится в раннем доступе. Мы постараемся исправить эту ошибку :/,"Noita is in early access, we'll try to fix this. :/",,,,,,
menuautosave_yes,Восстановить,Restore,,,,,,
menuautosave_no,Не надо. Можно его стереть,Nah. Destroy it,,,,,,
menuoptions_configurecontrols_hint_gamepad,"Нажмите B на элементе управления, чтобы восстановить настройки по умолчанию. ",Press B on a control to reset it to default ,,,,,,
menuoptions_configurecontrols_hint_keyboard,"Щёлкните правой кнопкой по привязке клавиш, чтобы вернуть настройки по умолчанию.",Right click on a key binding to reset it to default,,,,,,
menuoptions_privacypolicy,Политика конфиденциальности,Privacy policy,,,,,,
menuoptions_showhoverinfonexttomouse,Показывать название материала/предмета рядом с наведённым на него курсором: $0,Show hovered material/item name next to mouse: $0,,,,,,
menuoptions_replayrecorder_tooltip_exp,"ЭКСПЕРИМЕНТАЛЬНАЯ ФУНКЦИЯ\nНажмите $0, чтобы сохранить повтор в любой момент игры.\n\nСлишком высокое значение настройки «Ограничение на повторы» может повлиять на производительность\nили привести к сбою. Используйте на свой страх и риск!",EXPERIMENTAL FEATURE\nPress $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!,,,,,,
menuoptions_replayrecorder_tooltip,"Нажмите $0, чтобы сохранить повтор в любой момент игры.\n\nСлишком высокое значение настройки «Ограничение на повторы» может повлиять на производительность\nили привести к сбою. Используйте на свой страх и риск!",Press $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!,,,,,,
menuoptions_application_rendered_cursor_hint,"Включите, если не видите курсор мыши.",Turn this on in case you can't see the mouse cursor.,,,,,,
menuoptions_general,Общие,General,,,,,,
menuoptions_graphics,Графика,Graphics,,,,,,
menuoptions_audio,Звук,Audio,,,,,,
menuoptions_input,Ввод,Input,,,,,,
menuoptions_streaming,Трансляция,Streaming,,,,,,
menuoptions_teleport_flash_brightness,Яркость вспышки при телепортации,Teleport flash brightness,,,,,,
menuoptions_gamepaddetected,Обнаружен геймпад!\nГеймпады подключаются на вкладке «Ввод».,Gamepad detected!\nEnable gamepads via the Input tab.,,,,,,
menuoptions_replaybudget,Ограничение на повторы,Replay budget,,,,,,
menuoptions_heading_window,ОКНО,WINDOW,,,,,,
menuoptions_heading_replayrecorder,ВОСПРОИЗВЕДЕНИЕ ПОВТОРОВ,REPLAY RECORDER,,,,,,
menuoptions_heading_misc,РАЗНОЕ,MISCELLANEOUS,,,,,,
menuoptions_heading_rendering,ОТРИСОВКА,RENDERING,,,,,,
menuoptions_heading_userinterface_graphics,ИНТЕРФЕЙС ПОЛЬЗОВАТЕЛЯ,USER INTERFACE,,,,,,
menuoptions_heading_accessibility,СПЕЦИАЛЬНЫЕ ВОЗМОЖНОСТИ,ACCESSIBILITY,,,,,,
menuoptions_heading_volume,ГРОМКОСТЬ,VOLUME,,,,,,
menuoptions_heading_userinterface_input,ИНТЕРФЕЙС ПОЛЬЗОВАТЕЛЯ,USER INTERFACE,,,,,,
menuoptions_heading_gamepad,ГЕЙМПАД,GAMEPAD,,,,,,
menuoptions_heading_gameplay,ИГРОВОЙ ПРОЦЕСС,GAMEPLAY,,,,,,
menuoptions_heading_compatibility,СОВМЕСТИМОСТЬ,COMPATIBILITY,,,,,,
menuoptions_heading_streaming_integration,КАНАЛ TWITCH,TWITCH CHANNEL,,,,,,
